movieId,title,genres
129717,My Best Friend's Wife (1998),Comedy
207796,The Aeronauts (2019),Action|Adventure|Drama|Thriller
142322,The Ark of the Sun God (1984),Action|Adventure
196447,Wolf's Hole (1987),Adventure|Drama|Horror
167090,A Year and Change (2015),Comedy|Drama
44856,"Curse of the Werewolf, The (1961)",Drama|Horror|Romance
137435,"Lenexa, 1 Mile (2006)",Drama
4822,Max Keeble's Big Move (2001),Children|Comedy
6800,Cobra (1986),Action|Crime
32300,D.E.B.S. (2004),Action|Comedy
186371,The Pleasure Girls (1965),Drama
190705,Ryuichi Sakamoto: CODA (2017),(no genres listed)
123537,The Great St. Trinian's Train Robbery (1966),Action|Comedy
140078,"Video Nasties: Moral Panic, Censorship & Videotape (2010)",Documentary
145823,Land of Death (2004),Action|Horror|Thriller
170423,All Nighter (2017),Comedy
107758,Ass Backwards (2013),Comedy
157915,Old Shatterhand (1964),Adventure|Western
150812,Mantrap (1953),Crime|Thriller
179347,"I, Don Giovanni (2009)",Drama|Romance
99600,"Man Who Haunted Himself, The (1970)",Drama|Fantasy|Horror|Mystery|Thriller
50151,Home of the Brave (2007),Action|Drama|War
81100,Bianca Beauchamp: All Access (2007),Documentary
122104,Kevin Hart: Seriously Funny (2010),Comedy
83059,White Material (2009),Drama|Mystery|Thriller|War
162892,Fascisti su Marte (2006),(no genres listed)
120568,Full Grown Men (2006),Comedy|Drama
75351,"Night Stalker, The (1972)",Horror|Thriller
142895,Nana (1934),Drama
137325,Chloé (1996),Drama|Romance
118472,"Texas, Adios (1966)",Action|Western
189095,Bhaskar The Rascal (2015),Drama
68349,"Life and Times of Allen Ginsberg, The (1994)",Documentary
132064,Monsoon Baby (2014),Drama
181723,Blue Ice (1992),Action|Mystery|Thriller
205433,Alone in Four Walls (2008),Documentary
180825,Pecking Order (2017),Documentary
193013,Première année (2018),(no genres listed)
179987,Gushing Prayer: A 15-Year-Old Prostitute (1971),(no genres listed)
198321,Viva Buddy (1934),(no genres listed)
157522,Hot Spur (1968),Western
183443,Come due coccodrilli (1994),(no genres listed)
178225,Inside the Circle (2009),Documentary
