movieId,title,genres
152974,The Sand (2015),Horror|Sci-Fi
131524,Natural Sciences (2014),(no genres listed)
160798,The Avenging Eagle (1978),Action|Adventure
182497,Avalude Ravukal (1978),Drama|Romance
148911,Young Love (2001),Drama|Romance
166328,Judas Priest: British Steel (2001),Documentary
184765,Annayum Rasoolum (2013),Drama|Romance
61009,Inside Paris (Dans Paris) (2006),Drama
193523,Bharat Ane Nenu (2018),Action|Drama
119222,Behaving Badly (2014),Comedy
180031,The Shape of Water (2017),Adventure|Drama|Fantasy
2046,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
181007,The Eagle (1925),Action|Drama|Romance
458,Geronimo: An American Legend (1993),Drama|Western
121417,Scorned (1994),Drama|Thriller
186205,Altered Hours (2016),Sci-Fi|Thriller
6379,Wrong Turn (2003),Horror|Thriller
112214,Born Reckless (1937),Action|Adventure|Crime|Drama|Romance
119621,Everyday Sunshine:  The Story of Fishbone (2010),Documentary
135927,Posthumous (2014),Comedy|Drama|Romance
136377,Tigers in Lipstick (1979),Comedy
178991,Love Eternal (2013),Drama|Mystery
5778,Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night) (1982),Horror|Mystery|Thriller
154327,Straight Story (2006),Comedy|Sci-Fi
116503,The Possession of Michael King (2014),Horror
195329,From Zero to Ten (2002),Comedy|Drama
184073,The Psycho Legacy (2010),Documentary
96863,"Paperboy, The (2012)",Thriller
155593,Pawn's Move,(no genres listed)
201809,Bundy and the Green River Killer (2019),Crime|Horror
201020,The Foetus (1997),(no genres listed)
79647,"Haunted Strangler, The (Grip of the Strangler) (1958)",Crime|Horror|Mystery
155464,Sweet 'n Short (1991),Comedy
7481,Enemy Mine (1985),Adventure|Drama|Sci-Fi
87179,"Sisters, The (1938)",Drama
89519,Please Believe Me (1950),Comedy|Romance
3200,"Last Detail, The (1973)",Comedy|Drama
90823,Bandwagon (1996),Comedy
6945,My Architect: A Son's Journey (2003),Documentary
121805,The Old Corral (1936),Crime|Musical|Western
96121,Hope Springs (2012),Comedy|Drama
144632,Back In Time (2015),Documentary
168586,Catfight (2016),Comedy
138620,Christian Finnegan: The Fun Part (2014),Comedy
116161,Foxcatcher (2014),Drama
84164,Brute (Bandyta) (1998),Drama
32691,TNT Jackson (1974),Action|Drama
81371,There Was a Father (Chichi ariki) (1942),Drama
56389,My Blueberry Nights (2007),Drama|Romance
105121,Inescapable (2012),Action|Drama|War
121330,Altitude (2010),Horror|Mystery|Thriller
5221,Harrison's Flowers (2000),Drama
195537,The Dandelions (2012),Children|Comedy
95135,Your Sister's Sister (2011),Comedy|Drama
185193,Creating Freedom: The Lottery of Birth (2013),Documentary
190943,Duck Duck Goose (2018),Animation
181339,The Fear of God: 25 Years of The Exorcist (1998),Documentary
172521,Lovey-Dovey 2 (2008),Comedy|Fantasy
115421,"Pleasure Party (Partie de plaisir, Une) (Piece of Pleasure, A) (1975)",Drama
6221,Gaudi Afternoon (2001),Comedy|Drama|Mystery
33421,Dear Wendy (2005),Drama
6105,Moonlighting (1982),Drama
117436,End of the Road (1970),Comedy|Drama
188873,"Lou Andreas-Salomé, The Audacity to be Free (2016)",Drama
72703,Me and Orson Welles (2008),Drama
127614,Lure of the Sila (1949),Drama
161386,The Vanishing Legion (1931),Action|Mystery
5176,Luminarias (2000),Comedy|Romance
178613,Dave Chappelle: Killin' Them Softly (2000),Comedy
184053,Battle Planet (2008),Action|Sci-Fi
161308,Can't You Hear the Wind Howl? The Life & Music of Robert Johnson (1998),(no genres listed)
136574,Fracture (2010),Drama
143531,Mountains May Depart (2015),Drama
98394,Cry Wolf (1947),Crime|Drama|Mystery|Thriller
3217,"Star Is Born, A (1937)",Drama
8932,It's Alive (1974),Horror
58595,Quiet City (2007),Drama
122581,Night Vision (1997),Action
132622,Magic Beyond Words: The JK Rowling Story (2011),(no genres listed)
1590,Event Horizon (1997),Horror|Sci-Fi|Thriller
198599,Time Indefinite (1993),Documentary
193593,The Happy Thieves (1962),Comedy|Crime|Drama
136788,Any Day (2015),Drama|Romance|Thriller
26603,Prince of Darkness (1987),Fantasy|Horror|Sci-Fi|Thriller
154933,Oosaravelli (2011),Action|Romance
135174,Got the Facts on Milk? (2011),Documentary|Drama
157617,Desperate Teenage Lovedolls (1984),Comedy|Drama
190641,Thunder (1983),Action
3343,And God Created Woman (1988),Comedy|Drama|Romance
153784,Dhol (2007),Comedy
172487,Harvest Moon (1998),Drama
176949,We're from Jazz (1983),Comedy
160291,"Mother, May I Sleep with Danger? (2016)",Thriller
177807,Bodied (2017),Comedy|Drama
118814,Playing It Cool (2014),Comedy|Romance
162154,Bazodee,(no genres listed)
88063,Bugmaster (Mushishi) (2006),Fantasy
72980,Veronika Decides to Die (2009),Drama|Romance
125900,Sidecar Racers (1975),Drama
131836,Bill Bailey: Part Troll (2004),Comedy
145390,Artificial Paradises (2012),Drama
159807,The Making of a Lady (2012),Drama
117877,The Rabbi's Cat (Le chat du rabbin) (2011),Adventure|Animation
188847,Ho Mann Jahaan (2016),Drama
106387,A Bucket of Blood (1995),Comedy|Horror|Thriller
180001,The Cat with Hands (2001),Animation|Fantasy|Horror|Mystery
182479,Mary and the Witch's Flower (2017),Adventure|Animation
104013,They Call Him Bulldozer (Lo chiamavano Bulldozer) (1978),Action|Comedy
94867,"Pact, The (2012)",Horror|Mystery|Thriller
195685,Başka Semtin Çocukları (2008),Drama
160720,Exhibit A (2007),Thriller
125928,Santa's Pocket Watch (1980),(no genres listed)
83986,Good Time Max (2007),Drama
177901,The Guilty (2000),Crime|Drama|Thriller
154698,Q Planes (1939),Mystery|Thriller
86952,Son of Babylon (Syn Babilonu) (2009),Drama
197005,Bewitched (1981),Comedy|Fantasy|Horror|Romance|Sci-Fi
