movieId,title,genres
2521,Airport 1975 (1974),Action|Drama|Thriller
163533,I'll Sleep When I'm Dead (2016),Documentary
164226,Maximum Ride (2016),Action|Adventure|Comedy|Fantasy|Sci-Fi|Thriller
30854,"River, The (He liu) (1997)",Drama
148420,10.0 Earthquake (2014),Action|Adventure
87633,"Scenic Route, The (1978)",Drama
52462,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi
121911,Mine Own Executioner (1947),Drama|Thriller
186387,Taylor Mead's Ass (1965),(no genres listed)
2444,24 7: Twenty Four Seven (1997),Comedy|Drama
152288,The Fear of Darkness (2014),Thriller
147475,Outrageous! (1977),Animation|Comedy
54922,Victory Through Air Power (1943),Animation|Documentary|War
171353,Fire Maidens of Outer Space (1956),Sci-Fi
122232,Pumpkinhead: Ashes to Ashes (2006),Horror
204444,Kharms (2017),Drama
68833,How to Cook Your Life (2007),Documentary
156182,"No Leave, No Love (1946)",Comedy
8926,Circle of Iron (1978),Action|Adventure|Fantasy|Mystery
185623,High-Rise (2009),Documentary
203014,Man's First Friend,Documentary
187447,It's Alive! (1969),Horror|Sci-Fi
204720,Writers Retreat (2015),(no genres listed)
43007,Vinci (2004),Comedy|Crime
142987,Stavitel chrámu (1920),(no genres listed)
60482,Towelhead (a.k.a. Nothing is Private) (2007),Drama
135765,Vishwaroopam (2013),Action|Crime|Thriller
153576,Kelin (2009),Drama
124294,The Shanghai Cobra (1945),Mystery|Thriller
136305,Sharknado 3: Oh Hell No! (2015),Horror|Sci-Fi
194979,Gamera 2: Attack of the Legion (1996),Action|Drama|Fantasy|Horror|Sci-Fi|Thriller
80549,Easy A (2010),Comedy|Romance
193549,Anote's Ark (2016),Documentary
160240,Will You Still Love Me Tomorrow? (2013),(no genres listed)
5644,"Pride of the Yankees, The (1942)",Drama
162656,Dishoom (2016),Action|Comedy
96700,360 (2011),Drama
120286,Daughters of Dolma (2013),Documentary
66859,"Adventures of Food Boy, The (aka High School Superhero) (2008)",Comedy
114263,700 Sundays (2014),Comedy
89208,Walled In (2009),Horror|Thriller
181349,Darkness Rising (2017),Horror
200736,J'veux du soleil (2019),Documentary
149154,Uuno Turhapuro – This Is My Life (2004),Comedy
152599,Please Teach Me English (2003),Comedy|Drama|Romance
82330,"Blossoming of Maximo Oliveros, The (Ang pagdadalaga ni Maximo Oliveros) (2005)",Comedy|Drama
33132,State Property 2 (2005),Action|Crime|Drama
69988,Humpday (2009),Comedy
124230,I Love Trouble (1948),Crime|Drama
96971,"Lie, The (2011)",Drama
179563,The Russell Girl (2008),Drama
49530,Blood Diamond (2006),Action|Adventure|Crime|Drama|Thriller|War
142454,Sukeban Deka: Counter Attack from the Kazama Sisters (1988),Action
8578,Undead (2003),Action|Comedy|Horror|Sci-Fi
192597,36 Saints (2013),Thriller
3241,"Cup, The (Phörpa) (1999)",Comedy
137070,The Killing Game (2011),Mystery|Thriller
26901,Last of the Dogmen (1995),Adventure|Western
183437,World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017),Animation|Sci-Fi
155020,Summers Downstairs (2015),(no genres listed)
191731,Love in the Time of Monsters (2014),Comedy|Horror
125704,Bunny Drop (2011),Comedy
172075,A Billion Lives (2016),Documentary
82337,Four Heads Are Better Than One (Un homme de tête) (1898),Fantasy
