movieId,title,genres
140475,Death Train (1993),Action|Thriller
208933,The Devil's Partner (1961),Horror
202529,The Last Best Sunday (1999),Drama|Romance
206323,Dragon Ball Z: Broly – Second Coming (1994),Action|Animation|Sci-Fi
174881,Tutti gli uomini del deficiente (1999),Comedy
153104,Une femme d'extérieur (2000),(no genres listed)
207341,The Forest (2018),Drama
200438,Bułgarski Pościkk (2001),Action|Comedy
204684,The Fourth Man (2007),Action|Mystery|Thriller
26345,"Great Waldo Pepper, The (1975)",Drama|Romance
86330,Forever Strong (2008),Drama
158376,True Confessions of a Hollywood Starlet (2008),Children|Comedy|Drama
125141,"Y/N: You Lie, You Die (2012)",Thriller
6631,Man's Best Friend (1993),Horror|Sci-Fi|Thriller
156720,Burning an Illusion (1981),(no genres listed)
111696,Beneath the Valley of the Ultra-Vixens (1979),Comedy
126719,High-Ballin' (1978),Action|Drama
90241,Don't Deliver Us from Evil (Mais ne nous délivrez pas du mal) (1971),Drama|Horror
195997,Elijah's Ashes (2017),(no genres listed)
201192,Cerni baroni (1992),Comedy
148112,The House Across the Street (2015),Horror|Thriller
192147,Acoustic (2010),Drama
205998,Culture Shock (2019),Horror|Thriller
149852,Arizona Bushwhackers (1968),Western
6261,Wind (1992),Action|Romance
152543,Silver Tongues (2011),Drama|Romance|Thriller
8775,"Counterfeit Traitor, The (1962)",Thriller|War
114095,Carnegie Hall (1947),Drama
2900,Monkey Shines (1988),Horror|Sci-Fi
172667,First They Killed My Father (2017),Drama
173285,Whitney: Can I Be Me (2017),Documentary
144606,Confessions of a Dangerous Mind (2002),Comedy|Crime|Drama|Romance|Thriller
151623,Adhurs (2010),Action|Comedy|Drama
124259,Brothers in Law (1957),Comedy
192481,Yavarum Nalam (2009),Drama|Horror|Thriller
5571,"Pinochet Case, The (Cas Pinochet, Le) (2001)",Documentary
33092,Acts of Worship (2001),Drama
140649,Csinibaba (1997),Comedy
188239,Mind Ripper (1995),Horror|Sci-Fi
118774,The Widow From Chicago (1930),Crime|Drama|Romance
122715,Older Than America (2008),Drama|Thriller
136760,Sherman's Way (2008),Comedy|Documentary
124921,Melody for a Street Organ (2009),(no genres listed)
94186,Barrier (Bariera) (1966),Comedy|Drama
